0,Sooooo I just realized my baby haven't been sleeping during the night like she used to because of that albuterol
1,_USER_ hasn't mentioned it once. Won't take any tylenol so I'm not forcing him. He's just missing bath time with the other two.
4,"ibuprofen, hot tea and; a bath pillhot beverage️raising hands🏽bathtubcherry blossom"
5,_USER_ well not just pain killers bit like aspirin or ibuprofen thins your blood to...I saw the pic and that looks gnarly face with medical mask
8,Da 4 biji panadol aku telan.
13,"_USER_ yeah had pains,tht midwife would say take paracetamol it's probably _URL_ they thought was early labour so was in Hosp X"
14,"“_USER_: ...steroid shot in the derriere, almost passed out."" _USER_ had one of those!"
16,"""I do not need a Xanax cause I'm feeling Zen
Only positive vibes what I'm trying to send
I can only get flyer, I'm trying to ascend"" -Cj Fly"
21,Someone told me that when people take xanax to have someone around bc you end up stealing and other stuff and I was like omg...
22,_USER_ Your DOCTOR told you praying would help? Maybe s/he meant to say meditation. Or Xanax.
27,"_USER_ Hoping you feel better soon, sweetie! Taking tylenol with the hydrocodone makes it more effective."
30,_USER_ Glad you have troops to command!! Rest that back! sun️with a cold ice tea and; ibuprofen sounds about right!!
35,"The swedish state wants to make a law that, without suspicion, can force gym goers to leave blood and urine samples for steroid testing."
39,nahri had this nasty dry cough for 3 days now his albuterol not working
40,_USER_ just seeing this and; I hope your cold is gone. Next time try this Advil! It works miracles for me when I… _URL_
52,_USER_ ibuprofen is ok in combo w/the benadryl. I don't know of interactions between hydroand; benadryl but both can make you drowsy
56,_USER_ _USER_ _USER_ How was he supposed to know those steroids were PEDs?
64,This baseball player told me skateboarding lead to drugs n bad things n I was like and sports don't lead to steroids n other shit? FuckNigga
66,_USER_ - I have a tiny excema breakout on my hand for 1st time and dr says steroid cream - is that bad?
70,"_USER_ Or advil or aspirin or anything for pain, reduces fever too."
71,"Did you know?

Myth: ""Creatine is a steroid . . . right?""

Fact: WRONG!

Creatine is not a steroid or banned... _URL_"
76,"Jfc, you took a muscle relaxer, percocet, AND prozac?!? _HASHTAG_"
83,"_USER_  if he got his shots today that's why, Cullen had one too after his. Just give him a cool bath and some Tylenol"
84,_USER_ Motrin should knock it right out. And if it doesn't in an hour stack Tylenol with it. It's safe because one metabolizes in
87,_USER_ Well thankfully you found the sleep problem! Hopefully Tylenol will help her be able to sleep now! Good luck mama red heart️
88,Maisie taking full advantage of being 18 and being ibuprofen
89,Helpful Infographic from _USER_ on when to choose acetominophen (Tylenol) vs. ibuprofen (Advil). _URL_
90,Took Gma to bone doc _URL_ thumb immobility might be arthritis. Creepy steroid shot! Now I need to pack for the trip tomorrow.
93,_USER_ at least someone and ask you the difference between a corticosteroid inhaler and anabolic steroid
94,Stop fucking misusing adderall and xanax so you can have a good time for one night. Some people actually need them and now can't get it.
97,_USER_ I'm having antibiotics and I've had my steroids so now just wait and see. Thanks x
99,oxycodone giving my patient diarrhea like shitface with medical mask
102,"""i baked you a nice prozac pie, dont you want two slices every 4 hours"" face with tears of joyface with tears of joyface with tears of joy

""Make sure he eats 100 mg of pie"" face with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joy 

IM FUCKING WEAK ."
105,i'm super sad bc aria has croup and had to get a steroid to help her breathcrying face
107,"Inside, outside, crib, exersaucer, fed, changed, nursed, Ergo, Tylenol. Nothing works. _HASHTAG_ _HASHTAG_ _HASHTAG_"
111,"_USER_ I gave him like ice cold water with pedialite gave him a Luke warm bath, Tylenol, cold rag. His fever was freakin 102!!"
113,"_USER_ face with tears of joyface with tears of joyface with tears of joy you'll be ard, take some motrin and drink ginger ale"
116,People are fukkin stupid xanax are prescription pills for people with anxiety and bad nerves! It is not a form of crack dumb asses
117,"I shit you not. Me having a cold is ""endangering"" to my child. . .
Meanwhile, the batshit roommate popped klonopin near my kid (not cool)"
118,That moment when you realize you can't touch your husband because he used a steroid med on his skin and; it'll raise your BG. _HASHTAG_
119,Tylenol ain't gonna do it
120,"HEY _USER_ how is that ""ibuprofen"" treating you!? 
see-no-evil monkeyperson gesturing NOspeak-no-evil monkeyfireface with tears of joyface blowing a kiss"
121,_USER_ there isn't much. Tylenol is pretty much it. I took beta carotene to help my immune system fight it!
126,My steroid cheeks babyred heartface blowing a kissred heartface blowing a kiss _URL_
127,someone give sister a xanax pls face with tears of joy
130,24. Medication in _HASHTAG_ - you have to suffer through most ailments. If paracetamol cannot fix it then just be strong
131,"_USER_ i say absolutely NO steroid creams. _URL_ is a good website to find out why. Other than that, id say go as"
136,Research shows efficacy of steroid use in late preterm delivery _URL_
137,And free ibuprofen from Giant Eagle!
138,"Beat that pussy, go to sleep. She got that tylenol P.M."
140,_USER_ you can take a tylenol
141,"Seen this story in the news today? 

Caution urged for pregnant women using paracetamol

""The key message from... _URL_"
144,Maybe some steroids could decrease the swelling? Idk. My dog growing up had neck tumors and; one round of steroid= 3 more yrs _USER_
147,_USER_ Oh could be drug-dealers/pharmacuetical co/depressed people... making prozac or ecstasy equivalent... a lot of money in serotonin
